epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,300.506,1.64366,2.49199,1.6133,0.28697,0.1381,0.11114,0.06256,1.74506,2.70762,1.69007,0.0683437,0.00166612,0.00166612
2,591.471,1.61663,2.40043,1.61269,0.40993,0.27889,0.26438,0.16889,1.42142,1.87587,1.45712,0.0360171,0.0026729,0.0026729
3,875.447,1.53109,2.18655,1.54048,0.4434,0.33668,0.32211,0.20995,1.34484,1.67786,1.37762,0.00303058,0.00301967,0.00301967
4,1157.64,1.46996,2.01912,1.48711,0.50332,0.36809,0.37419,0.25098,1.27775,1.53431,1.32526,0.00203,0.00203,0.00203
5,1440.47,1.40384,1.86391,1.43699,0.54148,0.38667,0.41429,0.28478,1.23524,1.43938,1.28939,0.00104,0.00104,0.00104
