epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,12459,1.41346,1.83555,1.4196,0.56629,0.43464,0.46943,0.33038,1.18372,1.31729,1.23852,0.005842,0.005842,0.005842
44,12785,1.40998,1.8278,1.41598,0.56835,0.43518,0.4702,0.3305,1.18318,1.31653,1.23797,0.005743,0.005743,0.005743
45,13112.2,1.40902,1.82488,1.41648,0.56983,0.43598,0.47023,0.33135,1.18261,1.31595,1.2376,0.005644,0.005644,0.005644
46,13440.5,1.40789,1.82064,1.41541,0.57227,0.43553,0.47146,0.33193,1.18183,1.31463,1.23677,0.005545,0.005545,0.005545
47,13766.5,1.40697,1.81741,1.41484,0.57773,0.43568,0.47262,0.33288,1.1813,1.31258,1.23605,0.005446,0.005446,0.005446
48,14091.8,1.40456,1.81531,1.41241,0.57933,0.43659,0.47327,0.33294,1.18042,1.31104,1.23509,0.005347,0.005347,0.005347
49,14417.3,1.404,1.81399,1.41095,0.57941,0.43716,0.47377,0.33315,1.17923,1.30913,1.23426,0.005248,0.005248,0.005248
50,14746.1,1.40136,1.80596,1.41016,0.57549,0.4376,0.47429,0.33378,1.17782,1.30699,1.23331,0.005149,0.005149,0.005149
51,15071.1,1.39841,1.80227,1.40685,0.58363,0.43497,0.47533,0.33441,1.17623,1.30473,1.23188,0.00505,0.00505,0.00505
52,15382,1.39787,1.80107,1.40795,0.58955,0.43515,0.47689,0.33534,1.17545,1.30319,1.23109,0.004951,0.004951,0.004951
53,15716.1,1.39449,1.79375,1.40448,0.59655,0.43285,0.47782,0.33628,1.1746,1.30126,1.23037,0.004852,0.004852,0.004852
54,16054.4,1.39469,1.79276,1.40399,0.59295,0.43322,0.4784,0.33729,1.1741,1.29912,1.22972,0.004753,0.004753,0.004753
55,16392.8,1.39023,1.78291,1.40109,0.59586,0.43094,0.4795,0.33791,1.17422,1.29784,1.22967,0.004654,0.004654,0.004654
56,16726,1.38963,1.78532,1.40068,0.59567,0.43302,0.47967,0.33755,1.17394,1.29676,1.22923,0.004555,0.004555,0.004555
57,17062,1.38649,1.77831,1.39942,0.60109,0.43204,0.47956,0.33779,1.17246,1.29483,1.22812,0.004456,0.004456,0.004456
58,17400.5,1.38664,1.77346,1.39751,0.60263,0.43031,0.48021,0.33845,1.17211,1.29356,1.22738,0.004357,0.004357,0.004357
59,17736.8,1.38365,1.76596,1.39536,0.59588,0.43515,0.48097,0.33922,1.17075,1.29179,1.22624,0.004258,0.004258,0.004258
60,18070.5,1.38162,1.76194,1.39388,0.59069,0.43842,0.48139,0.34004,1.16961,1.29077,1.22485,0.004159,0.004159,0.004159
61,18409.1,1.3801,1.76054,1.39183,0.59067,0.43915,0.48203,0.34067,1.16905,1.2898,1.22426,0.00406,0.00406,0.00406
62,18747.5,1.37762,1.75662,1.39014,0.59216,0.43803,0.48272,0.34129,1.1688,1.28827,1.22389,0.003961,0.003961,0.003961
63,19080.4,1.37711,1.74926,1.38986,0.59378,0.43732,0.48355,0.3413,1.1685,1.28702,1.2234,0.003862,0.003862,0.003862
64,19417.6,1.3737,1.74759,1.3882,0.58975,0.44011,0.48372,0.34209,1.1678,1.28535,1.22277,0.003763,0.003763,0.003763
65,19750.1,1.37252,1.74178,1.38623,0.59039,0.43915,0.48454,0.34292,1.16686,1.28326,1.22203,0.003664,0.003664,0.003664
66,20082.3,1.37043,1.7325,1.38507,0.59204,0.43843,0.48512,0.34338,1.16614,1.28142,1.2214,0.003565,0.003565,0.003565
67,20407.5,1.36781,1.73231,1.38295,0.58968,0.44086,0.48591,0.34381,1.16508,1.28013,1.22038,0.003466,0.003466,0.003466
68,20714.8,1.36541,1.72715,1.38008,0.58966,0.44161,0.48631,0.34389,1.16435,1.2792,1.2197,0.003367,0.003367,0.003367
69,21046.6,1.36331,1.71946,1.37914,0.59537,0.4401,0.48706,0.34426,1.16361,1.27809,1.21895,0.003268,0.003268,0.003268
70,21385.2,1.36028,1.71308,1.37787,0.59473,0.44223,0.4871,0.34466,1.16263,1.27636,1.21763,0.003169,0.003169,0.003169
71,21724.1,1.35988,1.71312,1.37662,0.59434,0.44167,0.4878,0.34543,1.16116,1.27403,1.21637,0.00307,0.00307,0.00307
72,22055.8,1.35544,1.70361,1.37248,0.59647,0.441,0.48878,0.34606,1.16034,1.27238,1.21562,0.002971,0.002971,0.002971
73,22394.5,1.35425,1.69939,1.37178,0.59315,0.44334,0.48953,0.3474,1.15927,1.27079,1.2146,0.002872,0.002872,0.002872
74,22730.4,1.35009,1.69277,1.36987,0.59894,0.44307,0.49024,0.34827,1.15875,1.26873,1.214,0.002773,0.002773,0.002773
75,23064.6,1.3485,1.68331,1.36702,0.60114,0.44119,0.49108,0.34903,1.15805,1.26686,1.21281,0.002674,0.002674,0.002674
76,23402.8,1.3424,1.67887,1.3652,0.60623,0.44086,0.4918,0.3497,1.15751,1.26552,1.21203,0.002575,0.002575,0.002575
77,23734.2,1.34216,1.67659,1.3655,0.60759,0.44264,0.49264,0.35013,1.15684,1.26383,1.21162,0.002476,0.002476,0.002476
78,24072.8,1.33959,1.6673,1.36074,0.60839,0.44352,0.49322,0.35112,1.15562,1.26172,1.21038,0.002377,0.002377,0.002377
79,24405.9,1.33738,1.66292,1.36003,0.60708,0.44447,0.49387,0.35159,1.15406,1.25946,1.20906,0.002278,0.002278,0.002278
80,24737.2,1.33349,1.65516,1.35755,0.60597,0.4446,0.49454,0.35227,1.15248,1.25704,1.20779,0.002179,0.002179,0.002179
81,25068.8,1.32838,1.6459,1.35346,0.60756,0.44672,0.49588,0.35267,1.15133,1.25554,1.20693,0.00208,0.00208,0.00208
82,25400.5,1.3281,1.64141,1.35346,0.60589,0.44807,0.49693,0.35291,1.1501,1.25401,1.20586,0.001981,0.001981,0.001981
83,25725.9,1.32553,1.63356,1.35063,0.60152,0.45083,0.4978,0.35398,1.14879,1.25235,1.20448,0.001882,0.001882,0.001882
84,26049,1.3184,1.6234,1.34506,0.60585,0.44926,0.49891,0.35454,1.14832,1.25069,1.20399,0.001783,0.001783,0.001783
85,26334,1.31714,1.62004,1.34533,0.60894,0.44974,0.49977,0.35523,1.14784,1.24918,1.20332,0.001684,0.001684,0.001684
86,26632,1.31386,1.60938,1.34223,0.61175,0.45044,0.50065,0.35633,1.14718,1.24785,1.20265,0.001585,0.001585,0.001585
87,26929.1,1.30956,1.59864,1.34063,0.61218,0.45071,0.50128,0.35722,1.14611,1.24638,1.20149,0.001486,0.001486,0.001486
88,27224,1.30589,1.5967,1.33773,0.61646,0.4491,0.50191,0.3582,1.14533,1.2443,1.20086,0.001387,0.001387,0.001387
89,27522,1.30125,1.58536,1.33537,0.61424,0.45022,0.50294,0.35891,1.14439,1.24191,1.1998,0.001288,0.001288,0.001288
90,27816.8,1.30011,1.57955,1.33259,0.61168,0.4542,0.5042,0.35964,1.14367,1.24024,1.19901,0.001189,0.001189,0.001189
91,28107,1.18468,1.32686,1.24085,0.61245,0.45527,0.50516,0.36059,1.14234,1.23837,1.19795,0.00109,0.00109,0.00109
92,28394.7,1.17679,1.30787,1.23568,0.60871,0.45807,0.50663,0.36172,1.14076,1.23567,1.19652,0.000991,0.000991,0.000991
93,28682.5,1.16992,1.28811,1.23121,0.61029,0.45869,0.50785,0.36295,1.13918,1.23264,1.19508,0.000892,0.000892,0.000892
94,28972.5,1.16288,1.27447,1.22537,0.60857,0.46147,0.50901,0.3638,1.1372,1.22894,1.19334,0.000793,0.000793,0.000793
95,29260.2,1.15714,1.26165,1.22206,0.615,0.46135,0.51011,0.36491,1.1355,1.22615,1.19202,0.000694,0.000694,0.000694
96,29546.4,1.15063,1.24426,1.21719,0.61585,0.46269,0.51173,0.36598,1.13434,1.22354,1.19104,0.000595,0.000595,0.000595
97,29829.6,1.14439,1.23139,1.21333,0.61793,0.46576,0.5133,0.36731,1.1333,1.22036,1.18998,0.000496,0.000496,0.000496
98,30114.6,1.137,1.21795,1.20816,0.61986,0.46504,0.51413,0.36796,1.13207,1.21722,1.18878,0.000397,0.000397,0.000397
99,30400.6,1.13212,1.20238,1.20377,0.62208,0.46524,0.51554,0.36948,1.13075,1.21372,1.18729,0.000298,0.000298,0.000298
100,30683.9,1.12532,1.18907,1.19949,0.6276,0.46543,0.51713,0.37035,1.12997,1.21055,1.1862,0.000199,0.000199,0.000199
