epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,293.235,1.33281,1.87677,1.33938,0.54823,0.38388,0.39965,0.27082,1.2576,1.51471,1.26031,0.00333224,0.00333224,0.00333224
2,580.794,1.43203,1.89863,1.41628,0.50852,0.37457,0.38422,0.2606,1.28126,1.53283,1.29507,0.0065336,0.0065336,0.0065336
3,860.673,1.53095,2.13117,1.49569,0.44396,0.32644,0.32074,0.20508,1.37143,1.70602,1.37109,0.00960295,0.00960295,0.00960295
4,1143.05,1.56659,2.21209,1.53099,0.48647,0.34997,0.35945,0.2388,1.30699,1.58122,1.32689,0.009406,0.009406,0.009406
5,1477.23,1.52275,2.1073,1.50315,0.50818,0.3754,0.38727,0.26068,1.27108,1.50517,1.30407,0.009208,0.009208,0.009208
6,1807.89,1.49944,2.0518,1.48783,0.53312,0.39597,0.41125,0.28096,1.24942,1.45836,1.28992,0.00901,0.00901,0.00901
7,2135.26,1.48588,2.01959,1.47522,0.53594,0.40652,0.41926,0.28737,1.23149,1.42451,1.27471,0.008812,0.008812,0.008812
8,2467.98,1.47806,1.99288,1.46758,0.5604,0.40007,0.42766,0.2944,1.22094,1.40658,1.26817,0.008614,0.008614,0.008614
9,2793.78,1.46834,1.97229,1.46108,0.55151,0.40588,0.43545,0.30175,1.21735,1.39166,1.26487,0.008416,0.008416,0.008416
10,3126.79,1.4614,1.95583,1.45759,0.55315,0.41184,0.4368,0.30218,1.21384,1.38312,1.26322,0.008218,0.008218,0.008218
11,3454.39,1.45503,1.94369,1.45342,0.56695,0.40971,0.44075,0.30495,1.20895,1.37425,1.25918,0.00802,0.00802,0.00802
12,3784.12,1.45577,1.94141,1.45282,0.56873,0.41106,0.44179,0.30604,1.20633,1.36961,1.25716,0.007822,0.007822,0.007822
13,4111.61,1.45029,1.92902,1.44826,0.57469,0.40905,0.44355,0.30764,1.20508,1.36626,1.25586,0.007624,0.007624,0.007624
14,4518.23,1.44738,1.92042,1.4461,0.56681,0.41311,0.44514,0.30873,1.20255,1.36328,1.25399,0.007426,0.007426,0.007426
15,4933.05,1.44348,1.91134,1.44255,0.56165,0.41694,0.44634,0.30993,1.20032,1.35976,1.25225,0.007228,0.007228,0.007228
16,5265.41,1.43764,1.90475,1.43961,0.56898,0.41694,0.44697,0.31054,1.19851,1.35664,1.25092,0.00703,0.00703,0.00703
17,5590.88,1.43531,1.89089,1.43674,0.57273,0.41557,0.44857,0.31161,1.19676,1.35353,1.2497,0.006832,0.006832,0.006832
18,5923.97,1.43081,1.88731,1.43476,0.56161,0.419,0.44945,0.31285,1.19471,1.34978,1.2482,0.006634,0.006634,0.006634
19,6249.88,1.42884,1.87513,1.42887,0.56603,0.41795,0.4506,0.31337,1.19378,1.34619,1.24724,0.006436,0.006436,0.006436
20,6577.41,1.42397,1.865,1.42632,0.56298,0.42302,0.45174,0.31468,1.19266,1.34318,1.24636,0.006238,0.006238,0.006238
21,6882.74,1.42275,1.86078,1.42484,0.56679,0.4224,0.45491,0.3174,1.19092,1.33986,1.24472,0.00604,0.00604,0.00604
22,7222.66,1.41911,1.85334,1.42143,0.56607,0.42482,0.45635,0.31881,1.1895,1.33709,1.24338,0.005842,0.005842,0.005842
23,7562.21,1.41459,1.83906,1.41811,0.56722,0.42497,0.45638,0.31863,1.18876,1.33491,1.24242,0.005644,0.005644,0.005644
24,7899.66,1.4099,1.83584,1.41627,0.56563,0.42773,0.45832,0.32027,1.18738,1.33235,1.24109,0.005446,0.005446,0.005446
25,8234.67,1.40966,1.82675,1.41636,0.56868,0.42908,0.46002,0.3218,1.1857,1.33013,1.23966,0.005248,0.005248,0.005248
26,8574.77,1.40296,1.81473,1.4104,0.57476,0.42799,0.46624,0.32804,1.18435,1.3271,1.23853,0.00505,0.00505,0.00505
27,8914.88,1.39956,1.8073,1.40711,0.57711,0.4279,0.46765,0.32946,1.18306,1.32513,1.2376,0.004852,0.004852,0.004852
28,9255.03,1.39921,1.80386,1.40768,0.58106,0.42908,0.46893,0.33045,1.18084,1.32277,1.23577,0.004654,0.004654,0.004654
29,9595.31,1.39039,1.7866,1.40128,0.57868,0.43141,0.46706,0.3281,1.1793,1.32041,1.23441,0.004456,0.004456,0.004456
30,9935.42,1.38941,1.77902,1.39875,0.57753,0.43159,0.46781,0.32845,1.17748,1.31884,1.23275,0.004258,0.004258,0.004258
31,10272.9,1.38628,1.77474,1.39571,0.57558,0.43338,0.46883,0.32969,1.17558,1.31697,1.23084,0.00406,0.00406,0.00406
32,10609.7,1.38134,1.76098,1.39183,0.57829,0.43258,0.46993,0.33076,1.17386,1.31544,1.22936,0.003862,0.003862,0.003862
33,10943.8,1.37742,1.75269,1.38928,0.58113,0.43383,0.47119,0.33235,1.17219,1.31256,1.22745,0.003664,0.003664,0.003664
