epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,7091.36,1.44256,1.90667,1.44244,0.57527,0.41679,0.45227,0.3155,1.19589,1.35621,1.25041,0.007525,0.007525,0.007525
27,7334.97,1.44088,1.90447,1.44035,0.56992,0.42056,0.45644,0.32019,1.19449,1.35382,1.24947,0.007426,0.007426,0.007426
28,7578.49,1.44249,1.9062,1.4438,0.57406,0.4189,0.45672,0.32036,1.19383,1.35163,1.24915,0.007327,0.007327,0.007327
29,7822,1.43721,1.89538,1.44015,0.56726,0.42138,0.45744,0.3207,1.19337,1.34938,1.24857,0.007228,0.007228,0.007228
30,8065.31,1.43795,1.89198,1.43934,0.56952,0.41946,0.45801,0.32102,1.19243,1.34697,1.24737,0.007129,0.007129,0.007129
31,8309.19,1.43865,1.89353,1.43878,0.56891,0.42086,0.45917,0.32154,1.19166,1.34487,1.24677,0.00703,0.00703,0.00703
32,8552.72,1.43612,1.88731,1.43584,0.57008,0.42041,0.45991,0.32227,1.19081,1.34317,1.24579,0.006931,0.006931,0.006931
33,8796.5,1.4349,1.88506,1.43543,0.57566,0.41681,0.46052,0.32258,1.19033,1.34128,1.24499,0.006832,0.006832,0.006832
34,9040.21,1.43051,1.88016,1.43092,0.56912,0.42117,0.46195,0.32372,1.18963,1.33981,1.24429,0.006733,0.006733,0.006733
35,9284.14,1.42727,1.87593,1.43147,0.57463,0.41958,0.46241,0.32426,1.18917,1.33842,1.2438,0.006634,0.006634,0.006634
36,9527.83,1.4275,1.87139,1.43,0.57007,0.42408,0.4634,0.32507,1.18862,1.33667,1.2431,0.006535,0.006535,0.006535
37,9771.39,1.4253,1.8667,1.42637,0.57873,0.42178,0.46388,0.32578,1.18858,1.33541,1.24285,0.006436,0.006436,0.006436
38,10015,1.42432,1.86592,1.42674,0.57631,0.42395,0.4646,0.32578,1.18787,1.33435,1.24173,0.006337,0.006337,0.006337
39,10258.8,1.42474,1.86206,1.42705,0.57716,0.42481,0.46545,0.32659,1.18773,1.33297,1.24093,0.006238,0.006238,0.006238
40,10502.2,1.42107,1.86022,1.42584,0.57533,0.42629,0.46596,0.32716,1.18718,1.33179,1.24039,0.006139,0.006139,0.006139
41,10745.8,1.42099,1.85597,1.42489,0.57811,0.42623,0.46631,0.32736,1.18645,1.33028,1.23989,0.00604,0.00604,0.00604
42,10989.5,1.41784,1.85006,1.4236,0.56957,0.42824,0.46641,0.32822,1.18542,1.32775,1.23902,0.005941,0.005941,0.005941
43,11232.8,1.41678,1.8488,1.42325,0.57111,0.43042,0.46719,0.32869,1.1845,1.32577,1.23806,0.005842,0.005842,0.005842
44,11476.7,1.41489,1.84147,1.42128,0.56898,0.43111,0.46744,0.32867,1.18391,1.32464,1.23765,0.005743,0.005743,0.005743
45,11720.2,1.41368,1.83752,1.41931,0.57235,0.43199,0.46805,0.3296,1.1833,1.32188,1.23679,0.005644,0.005644,0.005644
46,11963.8,1.41299,1.83299,1.41764,0.57906,0.43022,0.46938,0.33071,1.18296,1.31993,1.23634,0.005545,0.005545,0.005545
47,12207.4,1.41194,1.83089,1.41831,0.57921,0.43133,0.46968,0.33076,1.1822,1.31817,1.23561,0.005446,0.005446,0.005446
48,12451.4,1.40869,1.82789,1.41606,0.57916,0.432,0.47022,0.3316,1.18112,1.31646,1.23456,0.005347,0.005347,0.005347
49,12694.8,1.40772,1.82508,1.41546,0.58406,0.43003,0.47133,0.33224,1.18064,1.31513,1.2337,0.005248,0.005248,0.005248
50,12938.5,1.40587,1.81827,1.4121,0.59209,0.42726,0.47243,0.33308,1.17987,1.31344,1.23293,0.005149,0.005149,0.005149
51,13182.2,1.40238,1.81515,1.41072,0.58738,0.43027,0.47389,0.33393,1.17901,1.31176,1.23238,0.00505,0.00505,0.00505
52,13425.6,1.40163,1.81315,1.41041,0.59101,0.4304,0.47486,0.33443,1.17795,1.30929,1.2313,0.004951,0.004951,0.004951
53,13669.6,1.39922,1.80455,1.40758,0.5922,0.4307,0.47604,0.33514,1.17696,1.30807,1.23046,0.004852,0.004852,0.004852
54,13913.1,1.39874,1.80471,1.40808,0.59062,0.4304,0.47687,0.33617,1.17648,1.30606,1.2301,0.004753,0.004753,0.004753
55,14156.5,1.39383,1.79351,1.40297,0.59339,0.43176,0.47782,0.33692,1.17592,1.30329,1.22928,0.004654,0.004654,0.004654
56,14400.2,1.39263,1.79521,1.40291,0.5983,0.43189,0.47855,0.33756,1.17556,1.30166,1.22881,0.004555,0.004555,0.004555
57,14643.6,1.39035,1.78794,1.40259,0.59882,0.43299,0.47966,0.33822,1.1751,1.29952,1.22827,0.004456,0.004456,0.004456
58,14887.2,1.3891,1.78488,1.40209,0.59896,0.43406,0.47991,0.33861,1.17437,1.29777,1.2275,0.004357,0.004357,0.004357
59,15131.4,1.38697,1.77514,1.39845,0.60189,0.43676,0.48118,0.33946,1.17338,1.29589,1.22666,0.004258,0.004258,0.004258
60,15374.8,1.38527,1.76957,1.39493,0.60185,0.43719,0.48178,0.34043,1.17244,1.29406,1.22569,0.004159,0.004159,0.004159
61,15618.6,1.3824,1.76958,1.3939,0.6031,0.43657,0.48256,0.34138,1.17171,1.29198,1.22528,0.00406,0.00406,0.00406
62,15862.2,1.38022,1.76555,1.39276,0.60045,0.44037,0.48339,0.34162,1.1714,1.29079,1.22505,0.003961,0.003961,0.003961
63,16105.8,1.37998,1.75943,1.39259,0.59759,0.4412,0.48422,0.34261,1.17031,1.28863,1.22409,0.003862,0.003862,0.003862
64,16349.2,1.37771,1.7559,1.38979,0.59736,0.43995,0.48438,0.34302,1.16925,1.28721,1.2232,0.003763,0.003763,0.003763
65,16592.9,1.37597,1.75057,1.38801,0.59914,0.44034,0.485,0.34375,1.16892,1.28609,1.2225,0.003664,0.003664,0.003664
66,16837,1.37339,1.73919,1.38521,0.60379,0.44077,0.48601,0.34434,1.16812,1.28463,1.22133,0.003565,0.003565,0.003565
67,17080.6,1.37142,1.73964,1.3852,0.60061,0.44164,0.48672,0.34479,1.16733,1.28293,1.22067,0.003466,0.003466,0.003466
68,17324.3,1.3689,1.73581,1.38335,0.60188,0.44129,0.48743,0.34541,1.1664,1.28107,1.2198,0.003367,0.003367,0.003367
69,17568,1.3678,1.72808,1.38077,0.59874,0.44399,0.48804,0.34615,1.16509,1.27937,1.21866,0.003268,0.003268,0.003268
70,17811.9,1.36364,1.72086,1.37987,0.59785,0.4447,0.4887,0.34669,1.16397,1.27793,1.21764,0.003169,0.003169,0.003169
71,18055.8,1.36362,1.72247,1.37925,0.5986,0.44418,0.48921,0.3475,1.16272,1.27673,1.21692,0.00307,0.00307,0.00307
72,18299.3,1.35853,1.71125,1.37374,0.59971,0.44446,0.48969,0.34787,1.16163,1.27535,1.21586,0.002971,0.002971,0.002971
73,18542.9,1.35656,1.70637,1.37424,0.60074,0.44519,0.49093,0.34856,1.16003,1.27372,1.21447,0.002872,0.002872,0.002872
74,18786.4,1.35366,1.7012,1.37256,0.60611,0.44514,0.49095,0.34884,1.15907,1.27244,1.2134,0.002773,0.002773,0.002773
75,19030.5,1.35106,1.69162,1.36905,0.6037,0.44719,0.49213,0.34947,1.15831,1.27073,1.21225,0.002674,0.002674,0.002674
76,19274,1.34583,1.68792,1.36575,0.60188,0.449,0.49335,0.35006,1.15764,1.26923,1.2115,0.002575,0.002575,0.002575
77,19517.5,1.34485,1.68359,1.36656,0.59914,0.45073,0.49426,0.35061,1.15695,1.26772,1.21107,0.002476,0.002476,0.002476
78,19761,1.34163,1.67496,1.363,0.59525,0.45273,0.49484,0.35129,1.15587,1.26549,1.21035,0.002377,0.002377,0.002377
79,20004.7,1.33986,1.6702,1.36182,0.59899,0.45333,0.49536,0.3521,1.15485,1.26407,1.20967,0.002278,0.002278,0.002278
80,20248.1,1.33595,1.66103,1.35935,0.60375,0.45193,0.49616,0.35244,1.15383,1.26235,1.20892,0.002179,0.002179,0.002179
81,20491.4,1.33064,1.65163,1.3543,0.60625,0.45198,0.49714,0.35347,1.15258,1.26,1.2079,0.00208,0.00208,0.00208
82,20734.7,1.33071,1.64951,1.3548,0.60602,0.45131,0.4978,0.35423,1.1512,1.25762,1.20673,0.001981,0.001981,0.001981
83,20978.3,1.32756,1.6408,1.35153,0.61014,0.45042,0.49823,0.35477,1.15027,1.25589,1.20571,0.001882,0.001882,0.001882
84,21221.9,1.3203,1.63044,1.34696,0.60768,0.45126,0.49873,0.35534,1.14916,1.25401,1.20484,0.001783,0.001783,0.001783
85,21465.7,1.3196,1.6257,1.34695,0.60064,0.45543,0.49985,0.35587,1.14807,1.25239,1.20352,0.001684,0.001684,0.001684
86,21709.5,1.31616,1.61363,1.34341,0.59859,0.45633,0.50087,0.35659,1.14768,1.2504,1.20267,0.001585,0.001585,0.001585
87,21953,1.31166,1.60507,1.34137,0.59619,0.45799,0.50166,0.35746,1.14702,1.249,1.20208,0.001486,0.001486,0.001486
88,22196.5,1.30903,1.60301,1.3394,0.59679,0.46044,0.50274,0.35852,1.14605,1.24702,1.20117,0.001387,0.001387,0.001387
89,22439.7,1.30398,1.59004,1.336,0.59864,0.45977,0.5036,0.35938,1.14547,1.24509,1.20049,0.001288,0.001288,0.001288
90,22683.2,1.30297,1.58431,1.3342,0.59364,0.46287,0.50464,0.35988,1.14436,1.24261,1.19942,0.001189,0.001189,0.001189
91,22920.3,1.1874,1.33167,1.24284,0.5984,0.46374,0.50621,0.3613,1.14221,1.24036,1.19801,0.00109,0.00109,0.00109
92,23156.4,1.17796,1.31116,1.23617,0.60403,0.46379,0.50762,0.36223,1.14033,1.23675,1.19665,0.000991,0.000991,0.000991
93,23392.3,1.17159,1.29191,1.23307,0.60791,0.46402,0.50967,0.36383,1.13876,1.23311,1.19551,0.000892,0.000892,0.000892
94,23628.3,1.16419,1.27715,1.22712,0.61165,0.46627,0.51128,0.36499,1.13714,1.23026,1.19396,0.000793,0.000793,0.000793
95,23864.3,1.15803,1.26399,1.22244,0.61094,0.46717,0.51272,0.36661,1.13581,1.22738,1.19279,0.000694,0.000694,0.000694
96,24100.4,1.1519,1.24766,1.21754,0.61211,0.46728,0.51418,0.36793,1.13409,1.22411,1.19106,0.000595,0.000595,0.000595
97,24336,1.14501,1.2339,1.21364,0.61478,0.46638,0.51523,0.36911,1.13236,1.2209,1.18944,0.000496,0.000496,0.000496
98,24571.7,1.13814,1.21989,1.20847,0.61419,0.46886,0.51649,0.37004,1.13097,1.21788,1.18813,0.000397,0.000397,0.000397
99,24807.4,1.13299,1.20471,1.20428,0.61625,0.46869,0.51759,0.37125,1.12997,1.21535,1.18711,0.000298,0.000298,0.000298
100,25042.7,1.12594,1.1921,1.19981,0.6212,0.46663,0.51839,0.37172,1.12896,1.21242,1.18595,0.000199,0.000199,0.000199
