epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.031,1.33281,1.87677,1.33938,0.54823,0.38388,0.39965,0.27082,1.2576,1.51471,1.26031,0.00333224,0.00333224,0.00333224
2,842.206,1.43288,1.9009,1.41663,0.49912,0.35782,0.36756,0.24636,1.30566,1.57192,1.3098,0.00659959,0.00659959,0.00659959
3,1229.23,1.53263,2.13635,1.49721,0.44283,0.31633,0.31668,0.20616,1.36546,1.70978,1.36354,0.00980093,0.00980093,0.00980093
4,1644.7,1.57181,2.22156,1.53524,0.498,0.34884,0.35896,0.23701,1.31127,1.59343,1.33009,0.009703,0.009703,0.009703
5,1971.36,1.52745,2.11717,1.50626,0.50497,0.37829,0.38794,0.26155,1.27308,1.51003,1.30585,0.009604,0.009604,0.009604
6,2215.48,1.50527,2.06521,1.49202,0.52755,0.39046,0.4091,0.2786,1.25417,1.46707,1.29129,0.009505,0.009505,0.009505
7,2459.25,1.49273,2.03369,1.48182,0.53213,0.4033,0.41884,0.28816,1.23565,1.42967,1.27865,0.009406,0.009406,0.009406
8,2702.86,1.4862,2.01162,1.47531,0.53556,0.40323,0.42807,0.29615,1.2261,1.41835,1.27253,0.009307,0.009307,0.009307
9,2946.77,1.47805,1.99524,1.47004,0.53759,0.40681,0.42909,0.29629,1.21923,1.40374,1.26715,0.009208,0.009208,0.009208
10,3190.41,1.47349,1.98239,1.46584,0.53709,0.41164,0.43375,0.30063,1.21534,1.39371,1.26365,0.009109,0.009109,0.009109
11,3434.17,1.46757,1.97111,1.46301,0.53945,0.41473,0.43644,0.30255,1.21259,1.38692,1.2616,0.00901,0.00901,0.00901
12,3678.07,1.46893,1.97391,1.46387,0.5466,0.41314,0.43846,0.30408,1.21058,1.38306,1.26057,0.008911,0.008911,0.008911
13,3921.82,1.46555,1.96659,1.46379,0.54806,0.41117,0.4389,0.30505,1.20849,1.38051,1.25944,0.008812,0.008812,0.008812
14,4166.14,1.46452,1.95946,1.45995,0.54958,0.41264,0.43974,0.30565,1.20697,1.37831,1.25861,0.008713,0.008713,0.008713
15,4410.09,1.46091,1.95507,1.45696,0.55343,0.41137,0.44161,0.307,1.20573,1.37624,1.25791,0.008614,0.008614,0.008614
16,4653.56,1.45856,1.95129,1.45635,0.55648,0.4127,0.44237,0.3077,1.20472,1.37447,1.25743,0.008515,0.008515,0.008515
17,4897.69,1.45637,1.94246,1.4541,0.55831,0.4125,0.44501,0.3098,1.20339,1.37251,1.25646,0.008416,0.008416,0.008416
18,5141.37,1.45474,1.94312,1.45461,0.55917,0.41299,0.44877,0.31391,1.20265,1.37075,1.25604,0.008317,0.008317,0.008317
19,5385.1,1.45463,1.9375,1.45048,0.55168,0.41636,0.44582,0.31115,1.20131,1.36923,1.25502,0.008218,0.008218,0.008218
20,5628.99,1.45237,1.9295,1.44875,0.54967,0.41684,0.44696,0.31133,1.20021,1.36712,1.25435,0.008119,0.008119,0.008119
21,5872.56,1.45101,1.9306,1.44931,0.55479,0.41621,0.4515,0.31596,1.20003,1.36503,1.25419,0.00802,0.00802,0.00802
22,6116.26,1.44916,1.92692,1.44849,0.56412,0.4123,0.44828,0.31251,1.19897,1.36319,1.25336,0.007921,0.007921,0.007921
23,6360.34,1.44735,1.91726,1.44681,0.56054,0.41606,0.44902,0.31292,1.1983,1.36166,1.25271,0.007822,0.007822,0.007822
24,6604.03,1.44564,1.91572,1.44469,0.56557,0.41481,0.45375,0.31736,1.19811,1.36023,1.25214,0.007723,0.007723,0.007723
25,6847.86,1.44778,1.9142,1.44674,0.56853,0.41542,0.45438,0.31782,1.19754,1.35833,1.25161,0.007624,0.007624,0.007624
