epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.046,1.28333,1.53545,1.32034,0.57329,0.42205,0.46134,0.32147,1.21073,1.35671,1.23342,0.00333224,0.00333224,0.00333224
2,570.523,1.3609,1.71184,1.37359,0.55053,0.40065,0.42489,0.28791,1.24773,1.42924,1.27103,0.00659959,0.00659959,0.00659959
3,845.517,1.46518,1.96071,1.45114,0.4863,0.35366,0.36005,0.23561,1.33113,1.59873,1.34124,0.00980093,0.00980093,0.00980093
4,1121.01,1.53111,2.10777,1.50528,0.49291,0.37162,0.38943,0.26388,1.29162,1.52959,1.317,0.009703,0.009703,0.009703
5,1396.47,1.50106,2.04172,1.48551,0.51106,0.38234,0.40828,0.27845,1.25938,1.46703,1.29438,0.009604,0.009604,0.009604
6,1670.59,1.48507,2.00444,1.47533,0.52959,0.39963,0.42391,0.29135,1.24091,1.43086,1.28233,0.009505,0.009505,0.009505
7,1944.57,1.47691,1.98533,1.46987,0.55723,0.40752,0.43786,0.30231,1.22813,1.40176,1.27313,0.009406,0.009406,0.009406
8,2219.11,1.47258,1.96955,1.46588,0.55288,0.41107,0.43689,0.30202,1.21858,1.38853,1.26725,0.009307,0.009307,0.009307
9,2498.54,1.46546,1.95978,1.46227,0.57111,0.40847,0.43984,0.30423,1.21377,1.37817,1.26467,0.009208,0.009208,0.009208
10,2777.27,1.46256,1.94687,1.45887,0.55088,0.41822,0.44308,0.30695,1.21072,1.37124,1.2619,0.009109,0.009109,0.009109
11,3061.52,1.45666,1.93972,1.45576,0.56225,0.41878,0.44733,0.31062,1.20745,1.36568,1.25998,0.00901,0.00901,0.00901
