epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.081,1.20763,1.64921,1.25408,0.55067,0.40871,0.42693,0.29277,1.22306,1.4152,1.23084,0.00333279,0.00333279,0.00333279
2,685.918,1.30228,1.69202,1.32174,0.51485,0.39139,0.40093,0.27019,1.26514,1.47486,1.28276,0.00653413,0.00653413,0.00653413
3,1011.49,1.39045,1.90107,1.38844,0.49781,0.36582,0.37449,0.25043,1.28934,1.53774,1.30843,0.00960348,0.00960348,0.00960348
4,1334.29,1.40715,1.94519,1.40718,0.51198,0.38767,0.40067,0.27115,1.26043,1.47444,1.29428,0.009406,0.009406,0.009406
5,1658.87,1.36611,1.83799,1.3787,0.52665,0.40934,0.42461,0.28985,1.23333,1.40934,1.27228,0.009208,0.009208,0.009208
6,1981.19,1.34277,1.77714,1.36434,0.53657,0.41784,0.43823,0.3019,1.21618,1.38097,1.2616,0.00901,0.00901,0.00901
7,2305.05,1.32645,1.73554,1.35044,0.56031,0.42275,0.44868,0.31117,1.20755,1.35347,1.25376,0.008812,0.008812,0.008812
8,2628.29,1.31552,1.70689,1.34254,0.56229,0.42764,0.45412,0.31577,1.1985,1.33794,1.24693,0.008614,0.008614,0.008614
9,2951.04,1.30617,1.68365,1.33478,0.54722,0.43829,0.45738,0.31829,1.19338,1.32691,1.24338,0.008416,0.008416,0.008416
10,3273.95,1.29961,1.66857,1.33009,0.55539,0.43472,0.46172,0.32215,1.18925,1.31952,1.23998,0.008218,0.008218,0.008218
11,3597.1,1.29365,1.65051,1.32508,0.56691,0.43369,0.46355,0.32397,1.18583,1.31334,1.23749,0.00802,0.00802,0.00802
12,3920.8,1.28704,1.63561,1.32047,0.57397,0.43355,0.46792,0.32784,1.18351,1.30833,1.23535,0.007822,0.007822,0.007822
13,4244.63,1.28255,1.62857,1.3193,0.57585,0.43398,0.47036,0.32922,1.18097,1.30353,1.23342,0.007624,0.007624,0.007624
14,4577.53,1.27923,1.61282,1.31478,0.57916,0.43481,0.47561,0.33459,1.17906,1.29819,1.2317,0.007426,0.007426,0.007426
15,4901.51,1.27389,1.60337,1.31131,0.5762,0.43868,0.47735,0.3359,1.1767,1.29391,1.22966,0.007228,0.007228,0.007228
16,5225.19,1.27162,1.593,1.3082,0.57958,0.44183,0.47926,0.3368,1.17445,1.28975,1.22788,0.00703,0.00703,0.00703
17,5548.7,1.26744,1.58794,1.30627,0.58384,0.44101,0.48089,0.33847,1.17284,1.28559,1.22663,0.006832,0.006832,0.006832
